,compounds,number_chiral_centers,weight
674,C01898,14,0.0
675,C01902,9,426.7174
676,C01909,0,214.2615
677,C01918,13,0.0
678,C01929,1,139.1552
679,C01931,13,0.0
680,C01934,4,180.1559
681,C01935,14,0.0
682,C01943,8,426.7174
683,C01944,5,893.7303
684,C01958,0,0.0
685,C01962,1,153.2232
686,C01977,12,0.0
687,C01978,15,0.0
688,C01996,0,146.2074
689,C01997,1,0.0
690,C02031,16,0.0
691,C02038,1,0.0
692,C02047,13,0.0
693,C02051,1,0.0
694,C02059,0,450.6957
695,C02067,4,244.2014
696,C02073,12,0.0
697,C02075,0,0.0
698,C02076,4,210.1819
699,C02090,4,723.8623
700,C02091,1,133.106
701,C02094,0,536.8726
702,C02097,8,564.3290000000002
703,C02100,12,0.0
704,C02103,0,0.0
705,C02112,0,0.0
706,C02128,9,0.0
707,C02133,0,0.0
708,C02141,10,426.7174
709,C02163,13,0.0
710,C02165,2,336.4657
711,C02166,4,625.7739
712,C02167,0,186.1189
713,C02170,0,118.088
714,C02174,0,0.0
715,C02188,1,0.0
716,C02189,1,0.0
717,C02191,0,562.6582
718,C02218,0,87.0773
719,C02222,0,158.1088
720,C02225,2,206.1501
721,C02232,5,909.6436
722,C02248,2,0.0
723,C02273,9,370.2635
724,C02282,13,0.0
725,C02291,2,222.2621
726,C02318,0,0.0
727,C02320,2,0.0
728,C02325,0,210.2265
729,C02336,4,180.1559
730,C02339,16,0.0
731,C02350,1,158.1154
732,C02351,0,108.0948
733,C02352,4,0.0
734,C02356,1,103.1198
735,C02374,9,0.0
736,C02375,0,144.5557
737,C02380,0,152.1771
738,C02391,0,0.0
739,C02411,5,879.6176
740,C02412,12,0.0
741,C02415,1,0.0
742,C02426,1,90.0779
743,C02430,13,0.0
744,C02431,4,164.1565
745,C02434,0,0.0
746,C02463,4,864.8477
747,C02469,0,830.7469
748,C02474,12,0.0
749,C02475,5,0.0
750,C02477,3,430.7061
751,C02478,5,0.0
752,C02480,0,142.1094
753,C02483,3,416.6795
754,C02489,1,0.0
755,C02492,5,0.0
756,C02504,1,176.1672
