,compounds,number_chiral_centers,weight
918,C04442,2,258.1199
919,C04454,3,356.2264
920,C04462,1,289.2387
921,C04478,4,318.1719
922,C04479,0,214.1721
923,C04483,10,392.57199999999995
924,C04484,0,186.1189
925,C04489,4,717.6838
926,C04494,4,683.1402
927,C04501,5,301.1877
928,C04506,3,0.0
929,C04512,5,0.0
930,C04517,1,0.0
931,C04546,2,190.1938
932,C04554,6,434.6517
933,C04556,0,219.1351
934,C04558,0,156.136
935,C04559,0,156.136
936,C04564,1,0.0
937,C04570,-1,0.0
938,C04573,9,621.3372
939,C04574,0,927.2623
940,C04575,2,192.1235
941,C04593,2,206.1501
942,C04618,1,0.0
943,C04619,1,0.0
944,C04620,1,0.0
945,C04631,9,677.4005
946,C04633,1,0.0
947,C04635,1,0.0
948,C04640,4,313.2017
949,C04642,0,200.1455
950,C04646,4,364.2716
951,C04650,1,181.1268
952,C04652,11,1018.0271
953,C04666,2,238.1351
954,C04675,5,979.7765
955,C04677,4,338.2112
956,C04681,2,0.0
957,C04688,1,0.0
958,C04691,3,288.1459
959,C04702,15,1149.9363
960,C04706,0,174.5386
961,C04728,12,0.0
962,C04730,18,0.0
963,C04732,3,276.2465
964,C04734,4,366.2213
965,C04735,1,0.0
966,C04737,17,0.0
967,C04738,10,833.7087
968,C04742,1,320.4663
969,C04751,4,339.1959
970,C04752,0,299.115
971,C04756,0,0.0
972,C04778,4,358.2836
973,C04805,1,320.4663
974,C04807,0,355.1385
975,C04823,5,454.2833
976,C04824,7,711.8611
977,C04851,11,1673.0374
978,C04874,2,255.2306
979,C04877,14,1051.79
980,C04882,16,1193.9458
981,C04884,23,0.0
982,C04895,2,495.1703
983,C04896,8,577.331
984,C04916,6,577.331
985,C04919,14,1405.7069
986,C04932,14,1325.727
987,C05067,5,0.0
988,C05116,5,853.6234
989,C05122,10,515.703
990,C05125,0,469.3669
991,C05130,0,110.1139
992,C05138,6,332.477
993,C05139,7,304.4238
994,C05140,6,302.4079
995,C05165,5,904.6701
996,C05167,0,0.0
997,C05172,0,160.9558
998,C05176,1,299.3642
999,C05198,4,251.2419
1000,C05202,1,315.3636
1001,C05212,1,0.0
1002,C05223,0,0.0
1003,C05232,6,0.0
1004,C05250,1,0.0
1005,C05258,6,1021.9423
1006,C05259,5,1019.9264
1007,C05260,6,993.8892
1008,C05261,5,991.8733
1009,C05262,6,965.836
1010,C05263,5,963.8201
1011,C05264,6,937.7828
1012,C05265,5,935.7669999999999
1013,C05266,6,909.7297
1014,C05267,5,907.7138
1015,C05268,6,881.6765
1016,C05269,5,879.6606
1017,C05270,5,865.6771
1018,C05271,5,863.6612
1019,C05272,5,1003.927
1020,C05273,5,975.8739
1021,C05274,5,921.7834
1022,C05275,5,919.7676
1023,C05276,5,891.7144
1024,C05309,-1,0.0
1025,C05326,5,0.0
1026,C05329,6,0.0
