,compounds,number_chiral_centers,weight
1026,C00555,0,87.1204
1027,C00576,0,102.1549
1028,C00614,1,0.0
1029,C00637,0,159.1846
1030,C00670,1,258.2292
1031,C00672,3,214.1104
1032,C00683,6,867.6069
1033,C00756,0,130.2279
1034,C00804,0,70.0468
1035,C00818,4,210.1388
1036,C00850,0,174.1744
1037,C00870,0,139.1088
1038,C00878,3,166.1293
1039,C00880,4,196.1553
1040,C00885,2,226.1828
1041,C00887,0,44.0128
1042,C00898,2,150.0868
1043,C00954,0,175.18400000000003
1044,C00974,2,288.2522
1045,C00988,0,156.0313
1046,C00997,-1,0.0
1047,C01000,-1,0.0
1048,C01127,0,162.0975
1049,C01149,0,130.208
1050,C01151,4,310.0897
1051,C01153,0,0.0
1052,C01165,1,131.1299
1053,C01181,0,146.2074
1054,C01182,2,310.0897
1055,C01190,7,0.0
1056,C01209,0,0.0
1057,C01216,2,178.14
1058,C01233,1,215.1415
1059,C01235,11,342.2965
1060,C01260,8,836.387
1061,C01290,12,0.0
1062,C01335,0,0.0
1063,C01378,2,288.2522
1064,C01419,1,178.2095
1065,C01450,0,0.0
1066,C01545,0,128.21200000000002
1067,C01612,0,0.0
1068,C01613,19,666.5777
1069,C01617,2,304.2516
1070,C01755,0,59.0903
1071,C01847,3,458.3597
1072,C01962,1,153.2232
1073,C02084,0,226.2723
1074,C02090,4,723.8623
1075,C02166,4,625.7739
1076,C02170,0,118.088
1077,C02291,2,222.2621
1078,C02320,2,0.0
1079,C02336,4,180.1559
